bc,ac,tbv,tav,time,mp,minBid
1475040.65,12246212.83,310250.11,251715.54,1689357264985,15.17,15.11
1472880.01,12256687.97,310105.91,252407.19,1689357267977,15.17,15.1
1472103.23,12247855.33,310045.19,251826.07,1689357271337,15.17,15.1
1456782.51,12256860.82,309028.53,252439.48,1689357273934,15.15,15.09
1476860.98,12267771.61,310358.75,253157.15,1689357277093,15.15,15.09
1477183.51,12264280.50,310380.07,252926.73,1689357279963,15.15,15.09
1468283.70,12265266.62,309789.62,252992.00,1689357283420,15.15,15.09
1466766.52,12262108.67,309698.57,252793.44,1689357286087,15.15,15.08
1478039.51,12256053.72,310440.36,252389.59,1689357288946,15.15,15.08
1474673.97,12262277.16,310219.42,252804.53,1689357291928,15.14,15.08
1471435.97,12259120.62,310005.11,252597.36,1689357294973,15.15,15.08
1473435.31,12262805.39,310137.25,252840.61,1689357298007,15.15,15.08
1481021.17,12222557.99,310650.71,250192.58,1689357300936,15.14,15.08
1477359.41,12257944.07,310406.75,252520.93,1689357303947,15.14,15.08
1479361.01,12258703.37,310538.17,252571.88,1689357306948,15.14,15.08
1478660.43,12249215.95,310495.25,251950.80,1689357309985,15.14,15.08
1479517.52,12254549.92,310549.07,252300.09,1689357313003,15.14,15.08
1472606.90,12253982.89,310090.36,252262.20,1689357315990,15.14,15.08
1463708.27,12264466.13,309516.67,252965.15,1689357318995,15.13,15.06
1477005.23,12264320.28,310396.18,252957.68,1689357322320,15.13,15.06
1479085.71,12268339.51,310536.55,253225.79,1689357325001,15.12,15.06
1475470.97,12268256.24,310296.20,253220.72,1689357328068,15.12,15.06
1476036.66,12245655.87,310326.00,251722.05,1689357330955,15.14,15.06
1472717.21,12261589.06,310109.46,252775.42,1689357333970,15.13,15.06
1470801.01,12268624.63,309987.56,253250.73,1689357337086,15.12,15.06
1479574.93,12259706.03,310564.97,252659.01,1689357339980,15.13,15.06
1478172.98,12265151.36,310473.82,253021.80,1689357343022,15.13,15.06
1473639.98,12268857.15,310173.82,253266.76,1689357345954,15.13,15.06
1464172.70,12258839.91,309544.86,252606.47,1689357349416,15.12,15.06
1479373.77,12271184.66,310554.87,253420.73,1689357351968,15.12,15.06
1474820.53,12269031.92,310253.87,253279.91,1689357354948,15.12,15.06
1478575.37,12268294.19,310502.57,253231.49,1689357357949,15.12,15.06
1475161.99,12269020.70,310274.47,253279.14,1689357360955,15.12,15.06
1464760.69,12253714.86,309618.43,252287.63,1689357364032,15.11,15.05
1479756.07,12259415.55,310611.72,252662.21,1689357367028,15.11,15.05
1466637.26,12267184.66,309770.69,253196.25,1689357369969,15.09,15.03
1460635.12,12255987.65,309365.66,252453.33,1689357372969,15.1,15.03
1482798.06,12246956.73,310801.56,251839.00,1689357375982,15.12,15.03
1483012.72,12261675.67,310817.07,252812.33,1689357379059,15.11,15.03
1471849.49,12263083.79,310082.72,252910.16,1689357381973,15.11,15.03
1465989.32,12271428.36,309696.17,253465.09,1689357385119,15.1,15.03
1471431.66,12258224.32,310054.13,252593.39,1689357387978,15.11,15.03
